year,occupation,total_employed,age_16_19,age_20_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus,median_age
2020,Computer and information research scientists,42.0,0.0,3.0,14.0,9.0,9.0,5.0,2.0,
2021,Computer and information research scientists,41.0,0.0,2.0,20.0,9.0,4.0,4.0,1.0,
2022,Computer and information research scientists,41.0,0.0,3.0,17.0,3.0,7.0,10.0,0.0,
2023,Computer and information research scientists,44.0,0.0,2.0,29.0,7.0,3.0,2.0,1.0,
2024,Computer and information research scientists,36.0,1.0,8.0,9.0,9.0,6.0,3.0,0.0,
2025,Computer and information research scientists,29.0,0.0,0.0,13.0,8.0,5.0,2.0,1.0,
2020,Computer and information systems managers,744.0,0.0,7.0,128.0,222.0,226.0,138.0,23.0,45.4
2021,Computer and information systems managers,715.0,2.0,9.0,113.0,209.0,212.0,149.0,21.0,45.7
2022,Computer and information systems managers,764.0,2.0,10.0,132.0,225.0,222.0,141.0,31.0,45.7
2023,Computer and information systems managers,793.0,0.0,8.0,156.0,243.0,223.0,139.0,24.0,44.8
2024,Computer and information systems managers,732.0,0.0,4.0,92.0,236.0,217.0,153.0,31.0,47.0
2025,Computer and information systems managers,646.0,0.0,5.0,93.0,183.0,226.0,118.0,21.0,46.4
2020,Computer and mathematical occupations,5603.0,23.0,335.0,1692.0,1515.0,1095.0,785.0,157.0,40.6
2021,Computer and mathematical occupations,5688.0,28.0,347.0,1693.0,1489.0,1135.0,815.0,181.0,40.7
2022,Computer and mathematical occupations,6171.0,32.0,378.0,1896.0,1587.0,1158.0,905.0,216.0,40.6
2023,Computer and mathematical occupations,6502.0,35.0,387.0,1949.0,1746.0,1272.0,895.0,218.0,40.8
2024,Computer and mathematical occupations,6386.0,27.0,408.0,1875.0,1712.0,1266.0,886.0,212.0,40.7
2025,Computer and mathematical occupations,6711.0,17.0,385.0,1971.0,1875.0,1343.0,905.0,214.0,40.7
2020,Computer hardware engineers,89.0,0.0,3.0,27.0,25.0,12.0,19.0,3.0,42.7
2021,Computer hardware engineers,88.0,0.0,1.0,36.0,27.0,11.0,8.0,5.0,38.2
2022,Computer hardware engineers,90.0,0.0,5.0,20.0,29.0,20.0,14.0,2.0,42.5
2023,Computer hardware engineers,71.0,0.0,4.0,17.0,20.0,15.0,14.0,1.0,42.8
2024,Computer hardware engineers,85.0,0.0,5.0,25.0,21.0,12.0,19.0,4.0,42.7
2025,Computer hardware engineers,94.0,0.0,3.0,21.0,23.0,30.0,15.0,1.0,42.2
2020,Computer network architects,107.0,0.0,1.0,20.0,34.0,38.0,13.0,2.0,43.8
2021,Computer network architects,102.0,0.0,0.0,14.0,39.0,30.0,16.0,2.0,45.0
2022,Computer network architects,98.0,0.0,3.0,20.0,32.0,24.0,15.0,4.0,43.2
2023,Computer network architects,104.0,0.0,4.0,23.0,34.0,23.0,18.0,1.0,43.9
2024,Computer network architects,139.0,0.0,2.0,20.0,51.0,43.0,17.0,6.0,45.1
2025,Computer network architects,96.0,0.0,0.0,13.0,36.0,27.0,16.0,4.0,45.1
2020,"Computer occupations, all other",792.0,3.0,51.0,199.0,233.0,169.0,117.0,20.0,41.5
2021,"Computer occupations, all other",889.0,6.0,68.0,204.0,230.0,200.0,151.0,30.0,42.2
2022,"Computer occupations, all other",969.0,10.0,56.0,251.0,256.0,201.0,156.0,40.0,41.7
2023,"Computer occupations, all other",1197.0,13.0,70.0,261.0,330.0,288.0,201.0,35.0,42.6
2024,"Computer occupations, all other",1188.0,10.0,72.0,280.0,283.0,290.0,207.0,47.0,43.2
2025,"Computer occupations, all other",1181.0,4.0,59.0,251.0,330.0,293.0,200.0,43.0,43.3
2020,Computer programmers,417.0,3.0,19.0,102.0,109.0,81.0,89.0,15.0,43.1
2021,Computer programmers,444.0,5.0,19.0,108.0,115.0,95.0,82.0,20.0,43.4
2022,Computer programmers,457.0,9.0,21.0,118.0,107.0,82.0,92.0,27.0,42.8
2023,Computer programmers,402.0,3.0,19.0,103.0,99.0,84.0,71.0,23.0,42.7
2024,Computer programmers,334.0,3.0,21.0,74.0,88.0,74.0,60.0,14.0,43.0
2025,Computer programmers,381.0,3.0,26.0,79.0,107.0,93.0,57.0,16.0,42.3
2020,Computer support specialists,660.0,9.0,40.0,190.0,172.0,134.0,95.0,19.0,40.7
2021,Computer support specialists,660.0,6.0,62.0,180.0,139.0,140.0,110.0,23.0,41.1
2022,Computer support specialists,704.0,4.0,43.0,206.0,165.0,136.0,121.0,30.0,42.0
2023,Computer support specialists,687.0,5.0,44.0,185.0,186.0,138.0,104.0,25.0,41.8
2024,Computer support specialists,633.0,1.0,47.0,160.0,175.0,121.0,97.0,32.0,41.7
2025,Computer support specialists,677.0,2.0,40.0,175.0,163.0,154.0,110.0,33.0,42.4
2020,Computer systems analysts,594.0,2.0,41.0,174.0,141.0,120.0,97.0,19.0,40.9
2021,Computer systems analysts,464.0,2.0,17.0,125.0,127.0,92.0,83.0,18.0,42.3
2022,Computer systems analysts,501.0,1.0,25.0,136.0,134.0,97.0,70.0,39.0,42.3
2023,Computer systems analysts,513.0,2.0,25.0,130.0,121.0,119.0,88.0,28.0,43.9
2024,Computer systems analysts,547.0,1.0,46.0,158.0,136.0,98.0,84.0,24.0,41.0
2025,Computer systems analysts,569.0,1.0,30.0,165.0,164.0,84.0,100.0,24.0,41.2
2020,Database administrators and architects,121.0,0.0,7.0,33.0,24.0,36.0,15.0,6.0,42.3
2021,Database administrators and architects,111.0,0.0,1.0,31.0,19.0,32.0,27.0,1.0,45.7
2022,Database administrators and architects,137.0,1.0,10.0,32.0,24.0,33.0,34.0,4.0,46.4
2023,Database administrators and architects,122.0,0.0,3.0,28.0,31.0,28.0,30.0,3.0,45.4
2024,Database administrators and architects,148.0,1.0,4.0,50.0,38.0,30.0,21.0,4.0,40.8
2025,Database administrators and architects,148.0,0.0,1.0,44.0,33.0,32.0,35.0,4.0,44.1
2020,Information security analysts,137.0,0.0,8.0,38.0,39.0,26.0,19.0,6.0,41.2
2021,Information security analysts,152.0,2.0,9.0,30.0,45.0,33.0,21.0,13.0,42.9
2022,Information security analysts,178.0,2.0,7.0,42.0,57.0,35.0,32.0,3.0,42.0
2023,Information security analysts,231.0,0.0,17.0,67.0,54.0,54.0,33.0,6.0,40.6
2024,Information security analysts,243.0,1.0,15.0,70.0,61.0,58.0,28.0,10.0,40.5
2025,Information security analysts,261.0,1.0,15.0,73.0,68.0,59.0,37.0,9.0,41.5
2020,Network and computer systems administrators,238.0,0.0,7.0,54.0,74.0,62.0,30.0,11.0,42.8
2021,Network and computer systems administrators,212.0,1.0,5.0,49.0,57.0,54.0,38.0,8.0,44.1
2022,Network and computer systems administrators,217.0,0.0,7.0,56.0,59.0,44.0,47.0,4.0,43.5
2023,Network and computer systems administrators,202.0,0.0,4.0,47.0,64.0,51.0,33.0,3.0,43.1
2024,Network and computer systems administrators,154.0,0.0,7.0,26.0,42.0,38.0,37.0,5.0,45.4
2025,Network and computer systems administrators,154.0,1.0,3.0,34.0,48.0,42.0,20.0,7.0,43.8
2020,Software developers,1883.0,4.0,109.0,675.0,529.0,303.0,220.0,43.0,39.1
2021,Software developers,1932.0,4.0,122.0,700.0,523.0,338.0,205.0,40.0,38.6
2022,Software developers,2085.0,0.0,133.0,746.0,553.0,376.0,234.0,43.0,38.9
2023,Software developers,2134.0,7.0,132.0,779.0,582.0,349.0,220.0,65.0,38.7
2024,Software developers,2077.0,3.0,129.0,742.0,567.0,366.0,230.0,40.0,38.8
2025,Software developers,2254.0,3.0,140.0,808.0,655.0,380.0,218.0,51.0,38.6
2020,Software quality assurance analysts and testers,82.0,1.0,6.0,19.0,24.0,18.0,11.0,3.0,42.0
2021,Software quality assurance analysts and testers,74.0,0.0,2.0,15.0,27.0,15.0,10.0,5.0,42.7
2022,Software quality assurance analysts and testers,83.0,0.0,2.0,20.0,24.0,20.0,11.0,5.0,43.8
2023,Software quality assurance analysts and testers,76.0,0.0,1.0,16.0,27.0,16.0,12.0,3.0,42.8
2024,Software quality assurance analysts and testers,82.0,0.0,4.0,29.0,22.0,12.0,12.0,4.0,40.6
2025,Software quality assurance analysts and testers,72.0,0.0,3.0,22.0,22.0,19.0,5.0,1.0,42.3
2020,Web and digital interface designers,70.0,0.0,7.0,29.0,17.0,10.0,5.0,1.0,36.2
2021,Web and digital interface designers,64.0,1.0,8.0,19.0,20.0,9.0,3.0,4.0,37.1
2022,Web and digital interface designers,89.0,1.0,3.0,37.0,27.0,14.0,6.0,1.0,36.4
2023,Web and digital interface designers,79.0,2.0,12.0,29.0,21.0,10.0,4.0,2.0,36.1
2024,Web and digital interface designers,96.0,0.0,3.0,34.0,32.0,14.0,10.0,2.0,39.3
2025,Web and digital interface designers,69.0,0.0,5.0,23.0,23.0,9.0,6.0,3.0,37.1
2020,Web developers,104.0,1.0,10.0,38.0,32.0,16.0,6.0,2.0,37.2
2021,Web developers,81.0,1.0,3.0,36.0,22.0,9.0,8.0,1.0,38.5
2022,Web developers,79.0,2.0,5.0,31.0,28.0,6.0,6.0,2.0,37.3
2023,Web developers,76.0,1.0,3.0,26.0,25.0,9.0,9.0,2.0,40.1
2024,Web developers,54.0,0.0,5.0,18.0,12.0,11.0,7.0,0.0,40.5
2025,Web developers,66.0,0.0,8.0,24.0,17.0,8.0,7.0,2.0,36.2
