occupation,total_employed_2020,total_employed_2021,total_employed_2022,total_employed_2023,total_employed_2024,total_employed_2025,age_16_19_2020,age_16_19_2021,age_16_19_2022,age_16_19_2023,age_16_19_2024,age_16_19_2025,age_20_24_2020,age_20_24_2021,age_20_24_2022,age_20_24_2023,age_20_24_2024,age_20_24_2025,age_25_34_2020,age_25_34_2021,age_25_34_2022,age_25_34_2023,age_25_34_2024,age_25_34_2025,age_35_44_2020,age_35_44_2021,age_35_44_2022,age_35_44_2023,age_35_44_2024,age_35_44_2025,age_45_54_2020,age_45_54_2021,age_45_54_2022,age_45_54_2023,age_45_54_2024,age_45_54_2025,age_55_64_2020,age_55_64_2021,age_55_64_2022,age_55_64_2023,age_55_64_2024,age_55_64_2025,age_65_plus_2020,age_65_plus_2021,age_65_plus_2022,age_65_plus_2023,age_65_plus_2024,age_65_plus_2025,median_age_2020,median_age_2021,median_age_2022,median_age_2023,median_age_2024,median_age_2025
Computer and information research scientists,42.0,41.0,41.0,44.0,36.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,8.0,0.0,14.0,20.0,17.0,29.0,9.0,13.0,9.0,9.0,3.0,7.0,9.0,8.0,9.0,4.0,7.0,3.0,6.0,5.0,5.0,4.0,10.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,,,,,,
Computer and information systems managers,744.0,715.0,764.0,793.0,732.0,646.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,9.0,10.0,8.0,4.0,5.0,128.0,113.0,132.0,156.0,92.0,93.0,222.0,209.0,225.0,243.0,236.0,183.0,226.0,212.0,222.0,223.0,217.0,226.0,138.0,149.0,141.0,139.0,153.0,118.0,23.0,21.0,31.0,24.0,31.0,21.0,45.4,45.7,45.7,44.8,47.0,46.4
Computer and mathematical occupations,5603.0,5688.0,6171.0,6502.0,6386.0,6711.0,23.0,28.0,32.0,35.0,27.0,17.0,335.0,347.0,378.0,387.0,408.0,385.0,1692.0,1693.0,1896.0,1949.0,1875.0,1971.0,1515.0,1489.0,1587.0,1746.0,1712.0,1875.0,1095.0,1135.0,1158.0,1272.0,1266.0,1343.0,785.0,815.0,905.0,895.0,886.0,905.0,157.0,181.0,216.0,218.0,212.0,214.0,40.6,40.7,40.6,40.8,40.7,40.7
Computer hardware engineers,89.0,88.0,90.0,71.0,85.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,4.0,5.0,3.0,27.0,36.0,20.0,17.0,25.0,21.0,25.0,27.0,29.0,20.0,21.0,23.0,12.0,11.0,20.0,15.0,12.0,30.0,19.0,8.0,14.0,14.0,19.0,15.0,3.0,5.0,2.0,1.0,4.0,1.0,42.7,38.2,42.5,42.8,42.7,42.2
Computer network architects,107.0,102.0,98.0,104.0,139.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,20.0,14.0,20.0,23.0,20.0,13.0,34.0,39.0,32.0,34.0,51.0,36.0,38.0,30.0,24.0,23.0,43.0,27.0,13.0,16.0,15.0,18.0,17.0,16.0,2.0,2.0,4.0,1.0,6.0,4.0,43.8,45.0,43.2,43.9,45.1,45.1
"Computer occupations, all other",792.0,889.0,969.0,1197.0,1188.0,1181.0,3.0,6.0,10.0,13.0,10.0,4.0,51.0,68.0,56.0,70.0,72.0,59.0,199.0,204.0,251.0,261.0,280.0,251.0,233.0,230.0,256.0,330.0,283.0,330.0,169.0,200.0,201.0,288.0,290.0,293.0,117.0,151.0,156.0,201.0,207.0,200.0,20.0,30.0,40.0,35.0,47.0,43.0,41.5,42.2,41.7,42.6,43.2,43.3
Computer programmers,417.0,444.0,457.0,402.0,334.0,381.0,3.0,5.0,9.0,3.0,3.0,3.0,19.0,19.0,21.0,19.0,21.0,26.0,102.0,108.0,118.0,103.0,74.0,79.0,109.0,115.0,107.0,99.0,88.0,107.0,81.0,95.0,82.0,84.0,74.0,93.0,89.0,82.0,92.0,71.0,60.0,57.0,15.0,20.0,27.0,23.0,14.0,16.0,43.1,43.4,42.8,42.7,43.0,42.3
Computer support specialists,660.0,660.0,704.0,687.0,633.0,677.0,9.0,6.0,4.0,5.0,1.0,2.0,40.0,62.0,43.0,44.0,47.0,40.0,190.0,180.0,206.0,185.0,160.0,175.0,172.0,139.0,165.0,186.0,175.0,163.0,134.0,140.0,136.0,138.0,121.0,154.0,95.0,110.0,121.0,104.0,97.0,110.0,19.0,23.0,30.0,25.0,32.0,33.0,40.7,41.1,42.0,41.8,41.7,42.4
Computer systems analysts,594.0,464.0,501.0,513.0,547.0,569.0,2.0,2.0,1.0,2.0,1.0,1.0,41.0,17.0,25.0,25.0,46.0,30.0,174.0,125.0,136.0,130.0,158.0,165.0,141.0,127.0,134.0,121.0,136.0,164.0,120.0,92.0,97.0,119.0,98.0,84.0,97.0,83.0,70.0,88.0,84.0,100.0,19.0,18.0,39.0,28.0,24.0,24.0,40.9,42.3,42.3,43.9,41.0,41.2
Database administrators and architects,121.0,111.0,137.0,122.0,148.0,148.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,10.0,3.0,4.0,1.0,33.0,31.0,32.0,28.0,50.0,44.0,24.0,19.0,24.0,31.0,38.0,33.0,36.0,32.0,33.0,28.0,30.0,32.0,15.0,27.0,34.0,30.0,21.0,35.0,6.0,1.0,4.0,3.0,4.0,4.0,42.3,45.7,46.4,45.4,40.8,44.1
Information security analysts,137.0,152.0,178.0,231.0,243.0,261.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,9.0,7.0,17.0,15.0,15.0,38.0,30.0,42.0,67.0,70.0,73.0,39.0,45.0,57.0,54.0,61.0,68.0,26.0,33.0,35.0,54.0,58.0,59.0,19.0,21.0,32.0,33.0,28.0,37.0,6.0,13.0,3.0,6.0,10.0,9.0,41.2,42.9,42.0,40.6,40.5,41.5
Network and computer systems administrators,238.0,212.0,217.0,202.0,154.0,154.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,5.0,7.0,4.0,7.0,3.0,54.0,49.0,56.0,47.0,26.0,34.0,74.0,57.0,59.0,64.0,42.0,48.0,62.0,54.0,44.0,51.0,38.0,42.0,30.0,38.0,47.0,33.0,37.0,20.0,11.0,8.0,4.0,3.0,5.0,7.0,42.8,44.1,43.5,43.1,45.4,43.8
Software developers,1883.0,1932.0,2085.0,2134.0,2077.0,2254.0,4.0,4.0,0.0,7.0,3.0,3.0,109.0,122.0,133.0,132.0,129.0,140.0,675.0,700.0,746.0,779.0,742.0,808.0,529.0,523.0,553.0,582.0,567.0,655.0,303.0,338.0,376.0,349.0,366.0,380.0,220.0,205.0,234.0,220.0,230.0,218.0,43.0,40.0,43.0,65.0,40.0,51.0,39.1,38.6,38.9,38.7,38.8,38.6
Software quality assurance analysts and testers,82.0,74.0,83.0,76.0,82.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,4.0,3.0,19.0,15.0,20.0,16.0,29.0,22.0,24.0,27.0,24.0,27.0,22.0,22.0,18.0,15.0,20.0,16.0,12.0,19.0,11.0,10.0,11.0,12.0,12.0,5.0,3.0,5.0,5.0,3.0,4.0,1.0,42.0,42.7,43.8,42.8,40.6,42.3
Web and digital interface designers,70.0,64.0,89.0,79.0,96.0,69.0,0.0,1.0,1.0,2.0,0.0,0.0,7.0,8.0,3.0,12.0,3.0,5.0,29.0,19.0,37.0,29.0,34.0,23.0,17.0,20.0,27.0,21.0,32.0,23.0,10.0,9.0,14.0,10.0,14.0,9.0,5.0,3.0,6.0,4.0,10.0,6.0,1.0,4.0,1.0,2.0,2.0,3.0,36.2,37.1,36.4,36.1,39.3,37.1
