occupation,total_employed_2020,total_employed_2021,total_employed_2022,total_employed_2023,total_employed_2024,total_employed_2025
Computer and information research scientists,42.0,41.0,41.0,44.0,36.0,29.0
Computer and information systems managers,744.0,715.0,764.0,793.0,732.0,646.0
Computer and mathematical occupations,5603.0,5688.0,6171.0,6502.0,6386.0,6711.0
Computer hardware engineers,89.0,88.0,90.0,71.0,85.0,94.0
Computer network architects,107.0,102.0,98.0,104.0,139.0,96.0
"Computer occupations, all other",792.0,889.0,969.0,1197.0,1188.0,1181.0
Computer programmers,417.0,444.0,457.0,402.0,334.0,381.0
Computer support specialists,660.0,660.0,704.0,687.0,633.0,677.0
Computer systems analysts,594.0,464.0,501.0,513.0,547.0,569.0
Database administrators and architects,121.0,111.0,137.0,122.0,148.0,148.0
Information security analysts,137.0,152.0,178.0,231.0,243.0,261.0
Network and computer systems administrators,238.0,212.0,217.0,202.0,154.0,154.0
Software developers,1883.0,1932.0,2085.0,2134.0,2077.0,2254.0
Software quality assurance analysts and testers,82.0,74.0,83.0,76.0,82.0,72.0
Web and digital interface designers,70.0,64.0,89.0,79.0,96.0,69.0
Web developers,104.0,81.0,79.0,76.0,54.0,66.0
