date,indeed_job_postings_index_us,indeed_software_development_job_postings_index_us
2020-02-01,100.0,100.0
2020-02-02,100.03,99.84
2020-02-03,100.05,99.73
2020-02-04,100.09,99.55
2020-02-05,100.16,99.46
2020-02-06,100.3,99.46
2020-02-07,100.19,99.45
2020-02-08,100.23,99.52
2020-02-09,100.21,99.54
2020-02-10,100.28,99.62
2020-02-11,100.33,99.65
2020-02-12,100.39,99.66
2020-02-13,100.41,99.63
2020-02-14,100.56,99.64
2020-02-15,100.38,99.61
2020-02-16,100.34,99.7
2020-02-17,100.22,99.72
2020-02-18,100.05,99.7
2020-02-19,99.91,99.69
2020-02-20,99.77,99.75
2020-02-21,99.67,99.75
2020-02-22,99.64,99.6
2020-02-23,99.63,99.6
2020-02-24,99.63,99.56
2020-02-25,99.72,99.65
2020-02-26,99.77,99.67
2020-02-27,99.8,99.68
2020-02-28,99.84,99.74
2020-02-29,99.94,100.0
2020-03-01,99.96,100.13
2020-03-02,100.01,100.32
2020-03-03,99.99,100.46
2020-03-04,99.94,100.59
2020-03-05,99.9,100.67
2020-03-06,99.87,100.8
2020-03-07,99.66,100.82
2020-03-08,99.57,100.73
2020-03-09,99.36,100.56
2020-03-10,99.27,100.51
2020-03-11,99.17,100.42
2020-03-12,99.05,100.41
2020-03-13,98.82,100.27
2020-03-14,98.71,100.26
2020-03-15,98.41,100.22
2020-03-16,98.27,100.3
2020-03-17,97.75,100.15
2020-03-18,97.03,100.0
2020-03-19,96.15,99.71
2020-03-20,95.1,99.36
2020-03-21,93.66,98.76
2020-03-22,92.39,98.24
2020-03-23,90.87,97.57
2020-03-24,89.56,97.06
2020-03-25,88.17,96.38
2020-03-26,86.74,95.39
2020-03-27,85.19,93.96
2020-03-28,83.97,92.62
2020-03-29,82.56,91.13
2020-03-30,81.35,89.75
2020-03-31,80.09,88.25
2020-04-01,78.88,86.8
2020-04-02,77.69,85.57
2020-04-03,76.75,84.85
2020-04-04,75.59,84.04
2020-04-05,74.46,83.25
2020-04-06,73.4,82.37
2020-04-07,72.2,81.42
2020-04-08,71.37,80.66
2020-04-09,70.52,79.86
2020-04-10,69.7,79.12
2020-04-11,69.16,78.65
2020-04-12,68.66,78.19
2020-04-13,68.1,77.81
2020-04-14,67.74,77.48
2020-04-15,67.19,77.04
2020-04-16,66.78,76.65
2020-04-17,66.34,76.22
2020-04-18,65.94,75.73
2020-04-19,65.54,75.18
2020-04-20,65.19,74.73
2020-04-21,64.86,74.36
2020-04-22,64.51,73.96
2020-04-23,64.16,73.68
2020-04-24,63.86,73.34
2020-04-25,63.61,72.93
2020-04-26,63.35,72.6
2020-04-27,63.07,72.18
2020-04-28,62.77,71.75
2020-04-29,62.55,71.27
2020-04-30,62.42,70.76
2020-05-01,62.33,70.28
2020-05-02,62.22,69.89
2020-05-03,62.12,69.46
2020-05-04,62.0,69.04
2020-05-05,61.93,68.7
2020-05-06,61.93,68.5
2020-05-07,61.84,68.27
2020-05-08,61.84,68.02
2020-05-09,61.9,67.82
2020-05-10,62.03,67.74
2020-05-11,62.08,67.59
2020-05-12,62.17,67.29
2020-05-13,61.87,66.68
2020-05-14,61.9,66.26
2020-05-15,62.12,66.05
2020-05-16,62.2,65.62
2020-05-17,62.32,65.15
2020-05-18,62.52,64.88
2020-05-19,62.68,64.7
2020-05-20,63.19,64.88
2020-05-21,63.56,65.06
2020-05-22,63.73,65.12
2020-05-23,64.01,65.24
2020-05-24,64.16,65.37
2020-05-25,64.24,65.34
2020-05-26,64.32,65.31
2020-05-27,64.37,65.19
2020-05-28,64.35,64.92
2020-05-29,64.5,64.75
2020-05-30,64.8,64.99
2020-05-31,65.06,64.93
2020-06-01,65.37,64.83
2020-06-02,65.8,64.88
2020-06-03,66.27,65.05
2020-06-04,66.76,65.12
2020-06-05,67.09,65.17
2020-06-06,67.32,65.09
2020-06-07,67.5,65.19
2020-06-08,67.74,65.34
2020-06-09,67.96,65.28
2020-06-10,68.16,65.21
2020-06-11,68.37,65.23
2020-06-12,68.6,65.21
2020-06-13,68.8,64.99
2020-06-14,69.24,64.92
2020-06-15,69.69,64.95
2020-06-16,70.08,65.01
2020-06-17,70.47,65.0
2020-06-18,70.89,65.09
2020-06-19,71.3,65.12
2020-06-20,71.83,65.35
2020-06-21,72.35,65.55
2020-06-22,72.76,65.56
2020-06-23,72.97,65.58
2020-06-24,73.19,65.58
2020-06-25,73.38,65.6
2020-06-26,73.53,65.61
2020-06-27,73.56,65.52
2020-06-28,73.43,65.4
2020-06-29,73.6,65.38
2020-06-30,74.03,65.36
2020-07-01,74.42,65.37
2020-07-02,74.71,65.39
2020-07-03,75.04,65.42
2020-07-04,75.34,65.46
2020-07-05,75.75,65.51
2020-07-06,75.88,65.53
2020-07-07,75.86,65.65
2020-07-08,76.06,65.95
2020-07-09,76.39,66.11
2020-07-10,76.71,66.39
2020-07-11,77.06,66.67
2020-07-12,77.39,66.94
2020-07-13,77.69,67.3
2020-07-14,78.14,67.62
2020-07-15,78.3,67.76
2020-07-16,78.45,67.91
2020-07-17,78.58,68.01
2020-07-18,78.57,67.86
2020-07-19,78.69,67.94
2020-07-20,78.9,68.03
2020-07-21,79.09,68.12
2020-07-22,79.39,68.24
2020-07-23,79.72,68.33
2020-07-24,80.07,68.43
2020-07-25,80.6,68.75
2020-07-26,80.98,68.8
2020-07-27,81.26,68.78
2020-07-28,81.56,68.8
2020-07-29,81.81,68.79
2020-07-30,82.0,68.84
2020-07-31,82.17,68.87
2020-08-01,82.31,69.12
2020-08-02,82.46,69.29
2020-08-03,82.64,69.49
2020-08-04,82.71,69.59
2020-08-05,82.77,69.64
2020-08-06,82.76,69.7
2020-08-07,82.69,69.62
2020-08-08,82.69,69.57
2020-08-09,82.65,69.65
2020-08-10,82.62,69.75
2020-08-11,82.66,69.92
2020-08-12,82.62,69.98
2020-08-13,82.62,70.09
2020-08-14,82.71,70.31
2020-08-15,82.51,70.09
2020-08-16,82.55,70.1
2020-08-17,82.59,70.1
2020-08-18,82.59,70.14
2020-08-19,82.72,70.22
2020-08-20,82.87,70.24
2020-08-21,82.98,70.25
2020-08-22,83.27,70.48
2020-08-23,83.36,70.51
2020-08-24,83.42,70.49
2020-08-25,83.54,70.41
2020-08-26,83.62,70.48
2020-08-27,83.65,70.57
2020-08-28,83.73,70.69
2020-08-29,83.85,70.77
2020-08-30,83.97,70.81
2020-08-31,84.08,70.91
2020-09-01,84.16,71.0
2020-09-02,84.32,71.16
2020-09-03,84.54,71.28
2020-09-04,84.73,71.5
2020-09-05,84.83,71.7
2020-09-06,84.98,71.93
2020-09-07,85.07,72.14
2020-09-08,85.17,72.35
2020-09-09,85.2,72.4
2020-09-10,85.34,72.54
2020-09-11,85.52,72.63
2020-09-12,85.71,72.76
2020-09-13,85.78,72.81
2020-09-14,85.88,72.83
2020-09-15,86.06,72.92
2020-09-16,86.27,73.09
2020-09-17,86.47,73.29
2020-09-18,86.66,73.38
2020-09-19,86.81,73.45
2020-09-20,87.07,73.59
2020-09-21,87.31,73.68
2020-09-22,87.54,73.74
2020-09-23,87.74,73.76
2020-09-24,87.8,73.75
2020-09-25,87.88,73.89
2020-09-26,87.96,73.98
2020-09-27,88.03,74.07
2020-09-28,88.16,74.28
2020-09-29,88.35,74.5
2020-09-30,88.57,74.82
2020-10-01,88.68,75.03
2020-10-02,88.84,75.26
2020-10-03,89.07,75.55
2020-10-04,89.26,75.84
2020-10-05,89.41,76.03
2020-10-06,89.46,76.17
2020-10-07,89.4,76.24
2020-10-08,89.62,76.39
2020-10-09,89.73,76.48
2020-10-10,89.87,76.49
2020-10-11,90.05,76.59
2020-10-12,90.26,76.77
2020-10-13,90.41,76.93
2020-10-14,90.61,77.18
2020-10-15,90.72,77.48
2020-10-16,90.77,77.62
2020-10-17,90.67,77.83
2020-10-18,90.62,78.02
2020-10-19,90.63,78.34
2020-10-20,90.75,78.7
2020-10-21,90.91,79.01
2020-10-22,91.08,79.02
2020-10-23,91.19,79.26
2020-10-24,91.43,79.53
2020-10-25,91.56,79.72
2020-10-26,91.62,79.76
2020-10-27,91.71,79.88
2020-10-28,91.75,80.0
2020-10-29,91.71,80.26
2020-10-30,91.79,80.3
2020-10-31,91.85,80.49
2020-11-01,91.97,80.76
2020-11-02,92.2,80.97
2020-11-03,92.32,81.06
2020-11-04,92.47,81.17
2020-11-05,92.63,81.29
2020-11-06,92.79,81.54
2020-11-07,92.93,81.63
2020-11-08,93.13,81.68
2020-11-09,93.22,81.72
2020-11-10,93.39,81.89
2020-11-11,93.54,81.94
2020-11-12,93.66,82.1
