Year,Period,Hires-Level,Hires-Rate,Job-Opening-Level,Job-Opening-Rate,Job-Openings-ProfBusiness-Level,Layoffs-Discharges-Level,Layoffs-Discharges-Rate,Total-Separations-Rate
2000,M12,5426,4.1,5088,3.7,871,2018,1.5,3.9
2001,M01,5722,4.3,5234,3.8,888,2220,1.7,4.4
2001,M02,5303,4.0,5097,3.7,1032,1855,1.4,3.9
2001,M03,5528,4.2,4762,3.5,901,2133,1.6,4.2
2001,M04,5204,3.9,4615,3.4,834,1883,1.4,4.1
2001,M05,5410,4.1,4425,3.2,750,2029,1.5,4.1
2001,M06,5109,3.9,4361,3.2,768,2015,1.5,4.0
2001,M07,5244,4.0,4447,3.3,756,2038,1.5,4.1
2001,M08,5223,4.0,4024,3.0,594,2011,1.5,4.1
2001,M09,4954,3.8,4071,3.0,644,2107,1.6,3.9
2001,M10,5078,3.9,3707,2.7,576,2319,1.8,4.2
2001,M11,4914,3.7,3775,2.8,604,2255,1.7,3.9
2001,M12,4829,3.7,3677,2.7,585,1922,1.5,3.7
2002,M01,4855,3.7,3699,2.7,592,1907,1.5,3.9
2002,M02,4801,3.7,3436,2.6,418,1978,1.5,3.8
2002,M03,4706,3.6,3612,2.7,548,1883,1.4,3.6
2002,M04,4928,3.8,3471,2.6,541,1956,1.5,3.8
2002,M05,4857,3.7,3457,2.6,567,1967,1.5,3.7
2002,M06,4869,3.7,3412,2.5,514,2015,1.5,3.7
2002,M07,4946,3.8,3367,2.5,543,2102,1.6,3.9
2002,M08,4871,3.7,3517,2.6,617,1923,1.5,3.7
2002,M09,4879,3.7,3301,2.5,572,2022,1.5,3.8
2002,M10,4798,3.7,3479,2.6,645,1935,1.5,3.6
2002,M11,4792,3.7,3514,2.6,590,1944,1.5,3.6
2002,M12,4893,3.7,3169,2.4,559,2007,1.5,3.8
2003,M01,5058,3.9,3441,2.6,684,2109,1.6,3.8
2003,M02,4714,3.6,3229,2.4,623,2015,1.5,3.7
2003,M03,4470,3.4,3099,2.3,575,1949,1.5,3.6
2003,M04,4600,3.5,3108,2.3,523,1998,1.5,3.6
2003,M05,4678,3.6,3289,2.5,640,2072,1.6,3.6
2003,M06,4682,3.6,3390,2.5,660,2076,1.6,3.6
2003,M07,4639,3.6,2981,2.2,538,2062,1.6,3.6
2003,M08,4666,3.6,3190,2.4,609,2162,1.7,3.6
2003,M09,4799,3.7,3091,2.3,583,1932,1.5,3.6
2003,M10,4902,3.8,3305,2.5,585,1969,1.5,3.6
2003,M11,4767,3.7,3324,2.5,627,1951,1.5,3.6
2003,M12,4984,3.8,3414,2.5,634,2007,1.5,3.7
2004,M01,4900,3.7,3424,2.6,556,2037,1.6,3.6
2004,M02,4788,3.7,3532,2.6,620,1985,1.5,3.6
2004,M03,5227,4.0,3525,2.6,570,2065,1.6,3.8
2004,M04,5152,3.9,3511,2.6,624,2010,1.5,3.7
2004,M05,4976,3.8,3710,2.7,676,1914,1.5,3.6
2004,M06,5009,3.8,3337,2.5,584,1887,1.4,3.7
2004,M07,4891,3.7,3814,2.8,686,1885,1.4,3.7
2004,M08,5013,3.8,3541,2.6,642,1974,1.5,3.7
2004,M09,5062,3.8,3821,2.8,679,2027,1.5,3.7
2004,M10,5149,3.9,3943,2.9,777,1903,1.4,3.6
2004,M11,5181,3.9,3472,2.6,673,2037,1.5,3.9
2004,M12,5153,3.9,4074,3.0,881,1951,1.5,3.7
2005,M01,5201,3.9,3804,2.8,732,2008,1.5,3.8
2005,M02,5276,4.0,3965,2.9,750,2068,1.6,3.8
2005,M03,5273,4.0,4044,2.9,736,2188,1.6,3.9
2005,M04,5362,4.0,4159,3.0,714,1957,1.5,3.7
2005,M05,5271,3.9,3797,2.8,663,2021,1.5,3.8
2005,M06,5376,4.0,4062,2.9,764,2015,1.5,3.8
2005,M07,5328,4.0,4256,3.1,837,1898,1.4,3.7
2005,M08,5409,4.0,4142,3.0,777,1905,1.4,3.9
2005,M09,5493,4.1,4352,3.1,818,2032,1.5,4.0
2005,M10,5124,3.8,4184,3.0,705,1873,1.4,3.7
2005,M11,5344,4.0,4248,3.1,783,1769,1.3,3.7
2005,M12,5294,3.9,4282,3.1,750,1923,1.4,3.8
2006,M01,5271,3.9,4397,3.1,748,1784,1.3,3.7
2006,M02,5474,4.0,4325,3.1,770,1882,1.4,3.9
2006,M03,5524,4.1,4732,3.4,853,1888,1.4,3.9
2006,M04,5215,3.8,4790,3.4,923,1853,1.4,3.7
2006,M05,5498,4.0,4463,3.2,855,1991,1.5,4.0
2006,M06,5455,4.0,4614,3.3,919,1817,1.3,3.9
2006,M07,5573,4.1,4394,3.1,949,1860,1.4,3.9
2006,M08,5373,3.9,4710,3.3,948,1775,1.3,3.8
2006,M09,5288,3.9,4737,3.3,911,1831,1.3,3.7
2006,M10,5375,3.9,4591,3.2,844,1898,1.4,3.9
2006,M11,5495,4.0,4645,3.3,861,1926,1.4,3.9
2006,M12,5214,3.8,4620,3.3,795,1772,1.3,3.7
2007,M01,5426,3.9,4763,3.3,957,1922,1.4,3.8
2007,M02,5160,3.8,4699,3.3,861,1850,1.3,3.7
2007,M03,5479,4.0,4962,3.5,1004,1882,1.4,3.8
2007,M04,5353,3.9,4689,3.3,953,2000,1.5,3.8
2007,M05,5469,4.0,4657,3.3,909,1967,1.4,3.8
2007,M06,5267,3.8,4859,3.4,959,1845,1.3,3.7
2007,M07,5217,3.8,4598,3.2,814,1896,1.4,3.8
2007,M08,5358,3.9,4546,3.2,742,2033,1.5,3.9
2007,M09,5344,3.9,4652,3.3,845,2188,1.6,3.8
2007,M10,5398,3.9,4636,3.2,1049,1998,1.4,3.8
2007,M11,5176,3.7,4646,3.3,995,1966,1.4,3.7
2007,M12,5119,3.7,4545,3.2,1036,1915,1.4,3.6
2008,M01,5071,3.7,4624,3.2,988,1989,1.4,3.7
2008,M02,5077,3.7,4279,3.0,967,1995,1.4,3.8
2008,M03,4924,3.6,4225,3.0,920,1918,1.4,3.6
2008,M04,4948,3.6,4035,2.8,838,1958,1.4,3.7
2008,M05,4691,3.4,4194,3.0,821,1950,1.4,3.5
2008,M06,4893,3.6,3830,2.7,736,2172,1.6,3.7
2008,M07,4637,3.4,3749,2.7,665,2071,1.5,3.5
2008,M08,4682,3.4,3674,2.6,659,2190,1.6,3.6
2008,M09,4499,3.3,3222,2.3,631,2088,1.5,3.6
2008,M10,4548,3.3,3377,2.4,577,2250,1.7,3.6
2008,M11,4104,3.0,3231,2.3,527,2290,1.7,3.6
2008,M12,4348,3.2,3146,2.3,578,2482,1.8,3.6
2009,M01,4095,3.1,2738,2.0,536,2581,1.9,3.6
2009,M02,4061,3.0,2864,2.1,533,2599,1.9,3.6
2009,M03,3858,2.9,2534,1.9,452,2575,1.9,3.6
2009,M04,3888,2.9,2295,1.7,438,2654,2.0,3.6
2009,M05,3758,2.9,2549,1.9,446,2231,1.7,3.2
2009,M06,3639,2.8,2503,1.9,405,2261,1.7,3.2
2009,M07,3857,3.0,2232,1.7,449,2267,1.7,3.2
2009,M08,3810,2.9,2338,1.8,420,2119,1.6,3.1
2009,M09,3944,3.0,2487,1.9,464,2195,1.7,3.2
2009,M10,3838,3.0,2406,1.8,413,2028,1.6,3.1
2009,M11,4024,3.1,2503,1.9,435,1913,1.5,3.1
2009,M12,4004,3.1,2568,1.9,432,2033,1.6,3.2
2010,M01,3904,3.0,2837,2.1,457,1880,1.4,3.0
2010,M02,3864,3.0,2666,2.0,430,1825,1.4,3.1
2010,M03,4302,3.3,2679,2.0,390,1924,1.5,3.1
2010,M04,4159,3.2,3153,2.4,513,1749,1.3,3.0
2010,M05,4420,3.4,2988,2.2,603,1762,1.3,3.0
2010,M06,4111,3.1,2801,2.1,582,2075,1.6,3.3
2010,M07,4163,3.2,3082,2.3,621,2166,1.7,3.3
2010,M08,4046,3.1,2999,2.2,641,1890,1.4,3.1
2010,M09,4034,3.1,2918,2.2,634,1832,1.4,3.1
2010,M10,4173,3.2,3235,2.4,652,1745,1.3,3.0
2010,M11,4182,3.2,3211,2.4,700,1849,1.4,3.1
2010,M12,4299,3.3,3058,2.3,579,1854,1.4,3.2
2011,M01,4000,3.1,3104,2.3,538,1827,1.4,3.1
2011,M02,4231,3.2,3226,2.4,610,1755,1.3,3.1
2011,M03,4430,3.4,3261,2.4,641,1794,1.4,3.2
2011,M04,4296,3.3,3259,2.4,590,1792,1.4,3.0
2011,M05,4261,3.2,3179,2.4,585,1904,1.4,3.2
2011,M06,4366,3.3,3455,2.6,676,1942,1.5,3.2
2011,M07,4261,3.2,3623,2.7,790,1845,1.4,3.1
2011,M08,4298,3.3,3329,2.5,669,1845,1.4,3.2
2011,M09,4429,3.3,3774,2.8,891,1872,1.4,3.2
2011,M10,4370,3.3,3619,2.7,708,1794,1.4,3.1
2011,M11,4365,3.3,3565,2.6,667,1912,1.4,3.2
2011,M12,4356,3.3,3768,2.8,847,1801,1.4,3.1
2012,M01,4457,3.3,3909,2.8,948,1797,1.3,3.1
2012,M02,4560,3.4,3616,2.6,747,1903,1.4,3.3
2012,M03,4575,3.4,3979,2.9,837,1784,1.3,3.2
2012,M04,4389,3.3,3793,2.8,772,1880,1.4,3.2
2012,M05,4533,3.4,3835,2.8,750,1969,1.5,3.3
2012,M06,4440,3.3,3911,2.8,774,1892,1.4,3.3
2012,M07,4327,3.2,3735,2.7,740,1722,1.3,3.1
2012,M08,4450,3.3,3809,2.8,730,1894,1.4,3.2
2012,M09,4302,3.2,3882,2.8,694,1805,1.3,3.0
2012,M10,4389,3.3,3775,2.7,755,1891,1.4,3.2
2012,M11,4489,3.3,3878,2.8,749,1921,1.4,3.2
2012,M12,4452,3.3,3970,2.9,697,1700,1.3,3.0
2013,M01,4487,3.3,3923,2.8,776,1678,1.2,3.2
2013,M02,4571,3.4,4004,2.9,757,1664,1.2,3.2
2013,M03,4369,3.2,4076,2.9,750,1787,1.3,3.1
2013,M04,4572,3.4,3988,2.9,761,1793,1.3,3.3
2013,M05,4663,3.4,4145,3.0,788,1836,1.3,3.3
2013,M06,4440,3.3,4150,3.0,749,1761,1.3,3.2
2013,M07,4561,3.3,3885,2.8,696,1713,1.3,3.2
2013,M08,4730,3.5,4085,2.9,809,1816,1.3,3.3
2013,M09,4726,3.5,4128,2.9,751,1892,1.4,3.3
2013,M10,4518,3.3,4222,3.0,819,1675,1.2,3.2
2013,M11,4622,3.4,4119,2.9,745,1630,1.2,3.2
2013,M12,4614,3.4,4121,2.9,774,1770,1.3,3.2
2014,M01,4626,3.4,4127,2.9,713,1806,1.3,3.2
2014,M02,4696,3.4,4373,3.1,848,1767,1.3,3.3
2014,M03,4763,3.5,4388,3.1,773,1703,1.2,3.3
2014,M04,4880,3.5,4566,3.2,842,1764,1.3,3.3
2014,M05,4808,3.5,4747,3.3,857,1710,1.2,3.3
2014,M06,4925,3.5,4982,3.5,916,1761,1.3,3.3
2014,M07,5008,3.6,4846,3.4,908,1781,1.3,3.4
2014,M08,4810,3.5,5349,3.7,967,1699,1.2,3.3
2014,M09,5149,3.7,4914,3.4,941,1718,1.2,3.5
2014,M10,5111,3.7,5012,3.5,956,1835,1.3,3.5
2014,M11,4978,3.6,4843,3.3,970,1726,1.2,3.3
2014,M12,5192,3.7,5130,3.5,1041,1857,1.3,3.4
2015,M01,5061,3.6,5344,3.7,1028,1789,1.3,3.5
2015,M02,5127,3.6,5466,3.7,1082,1757,1.2,3.5
2015,M03,5126,3.6,5210,3.6,1101,1973,1.4,3.6
2015,M04,5196,3.7,5598,3.8,1239,1856,1.3,3.5
2015,M05,5142,3.6,5563,3.8,1235,1711,1.2,3.4
2015,M06,5125,3.6,5248,3.6,1109,1821,1.3,3.5
2015,M07,5150,3.6,6056,4.1,1146,1703,1.2,3.4
2015,M08,5163,3.6,5467,3.7,1091,1773,1.2,3.5
2015,M09,5287,3.7,5488,3.7,1110,1964,1.4,3.6
2015,M10,5338,3.7,5773,3.9,1212,1845,1.3,3.5
2015,M11,5358,3.8,5708,3.8,1285,1779,1.2,3.6
2015,M12,5540,3.9,5845,3.9,1199,1803,1.3,3.7
2016,M01,5220,3.6,6012,4.0,1310,1805,1.3,3.6
2016,M02,5470,3.8,5770,3.9,1236,1894,1.3,3.7
2016,M03,5359,3.7,6129,4.1,1471,1850,1.3,3.6
2016,M04,5294,3.7,5803,3.9,1049,1771,1.2,3.6
2016,M05,5197,3.6,5777,3.9,1163,1825,1.3,3.6
2016,M06,5281,3.7,5742,3.8,1143,1750,1.2,3.6
2016,M07,5426,3.8,5962,4.0,1248,1759,1.2,3.5
2016,M08,5327,3.7,5677,3.8,1105,1860,1.3,3.6
2016,M09,5306,3.7,5868,3.9,1204,1588,1.1,3.4
2016,M10,5210,3.6,5591,3.7,985,1664,1.1,3.5
2016,M11,5308,3.7,5971,4.0,1227,1751,1.2,3.5
2016,M12,5343,3.7,5964,3.9,1081,1708,1.2,3.5
2017,M01,5499,3.8,5617,3.7,984,1745,1.2,3.7
2017,M02,5350,3.7,5923,3.9,986,1711,1.2,3.5
2017,M03,5395,3.7,5811,3.8,1009,1762,1.2,3.6
2017,M04,5272,3.6,6091,4.0,1047,1710,1.2,3.5
2017,M05,5477,3.7,5826,3.8,1010,1794,1.2,3.6
2017,M06,5635,3.8,6305,4.1,1237,1970,1.3,3.7
2017,M07,5497,3.7,6238,4.1,1131,1910,1.3,3.6
2017,M08,5519,3.8,6276,4.1,1110,1868,1.3,3.6
2017,M09,5450,3.7,6320,4.1,1113,1787,1.2,3.6
2017,M10,5581,3.8,6408,4.2,1323,1837,1.2,3.7
2017,M11,5494,3.7,6271,4.1,1034,1747,1.2,3.6
2017,M12,5421,3.7,6336,4.1,971,1732,1.2,3.6
2018,M01,5512,3.7,6621,4.3,1118,1932,1.3,3.6
2018,M02,5624,3.8,6552,4.2,1108,1771,1.2,3.6
2018,M03,5623,3.8,6818,4.4,1185,1795,1.2,3.7
2018,M04,5590,3.8,6877,4.4,1196,1727,1.2,3.7
2018,M05,5859,3.9,7016,4.5,1239,1775,1.2,3.7
2018,M06,5760,3.9,7230,4.6,1268,1822,1.2,3.7
2018,M07,5649,3.8,7190,4.6,1253,1806,1.2,3.7
2018,M08,5815,3.9,7208,4.6,1331,1803,1.2,3.7
2018,M09,5625,3.8,7411,4.7,1342,1764,1.2,3.7
2018,M10,5907,4.0,7304,4.7,1344,1813,1.2,3.7
2018,M11,5826,3.9,7594,4.8,1343,1938,1.3,3.9
2018,M12,5768,3.9,7489,4.8,1351,1839,1.2,3.7
2019,M01,5786,3.9,7502,4.8,1391,1705,1.1,3.7
2019,M02,5704,3.8,7066,4.5,1387,1763,1.2,3.8
2019,M03,5689,3.8,7317,4.6,1347,1690,1.1,3.7
2019,M04,6016,4.0,7272,4.6,1169,1963,1.3,3.8
2019,M05,5686,3.8,7275,4.6,1277,1775,1.2,3.7
2019,M06,5801,3.8,7194,4.6,1279,1780,1.2,3.7
2019,M07,5871,3.9,7042,4.5,1252,1833,1.2,3.9
2019,M08,5900,3.9,7178,4.5,1282,1808,1.2,3.7
2019,M09,5963,3.9,7124,4.5,1241,1970,1.3,3.8
2019,M10,5781,3.8,7289,4.6,1205,1819,1.2,3.7
2019,M11,5847,3.9,6888,4.3,1202,1782,1.2,3.7
2019,M12,5951,3.9,6699,4.2,1237,1931,1.3,3.8
2020,M01,5981,3.9,7124,4.5,1293,1808,1.2,3.8
2020,M02,5990,3.9,6966,4.4,1288,1954,1.3,3.8
2020,M03,5171,3.4,5894,3.8,1095,12985,8.6,10.8
2020,M04,4029,3.1,4606,3.4,817,9170,7.0,8.8
2020,M05,8133,6.1,5612,4.0,1001,2139,1.6,3.5
2020,M06,7477,5.4,6129,4.3,1079,2245,1.6,3.8
2020,M07,6320,4.5,6530,4.5,1149,1827,1.3,3.7
2020,M08,6004,4.3,6429,4.4,1152,1560,1.1,3.4
2020,M09,5966,4.2,6511,4.4,1262,1567,1.1,3.6
2020,M10,6091,4.3,6798,4.6,1259,1697,1.2,3.8
2020,M11,5894,4.1,6820,4.6,1343,2097,1.5,3.9
2020,M12,5577,3.9,6773,4.5,1448,1906,1.3,3.9
2021,M01,5594,3.9,7204,4.8,1419,1657,1.2,3.7
2021,M02,5772,4.0,7752,5.1,1477,1625,1.1,3.8
2021,M03,6148,4.3,8470,5.5,1563,1488,1.0,3.8
2021,M04,6216,4.3,9356,6.1,1727,1430,1.0,3.9
2021,M05,6013,4.1,9905,6.4,1888,1352,0.9,3.8
2021,M06,6606,4.5,10298,6.6,1932,1299,0.9,3.9
2021,M07,6732,4.6,11049,7.0,2076,1390,0.9,3.9
2021,M08,6390,4.3,10956,6.9,2057,1338,0.9,4.0
2021,M09,6653,4.5,10879,6.9,1954,1428,1.0,4.1
2021,M10,6652,4.5,11341,7.1,2115,1285,0.9,3.9
2021,M11,6811,4.6,11119,6.9,2045,1368,0.9,4.2
2021,M12,6596,4.4,11417,7.1,2092,1376,0.9,4.1
2022,M01,6400,4.3,11238,7.0,2096,1434,1.0,4.2
2022,M02,6806,4.5,11661,7.2,2348,1420,0.9,4.0
2022,M03,6607,4.4,12134,7.4,2454,1383,0.9,4.1
2022,M04,6614,4.4,11881,7.3,2318,1353,0.9,4.0
2022,M05,6461,4.3,11483,7.0,2226,1509,1.0,4.0
2022,M06,6510,4.3,11256,6.9,2282,1497,1.0,3.9
2022,M07,6470,4.2,11610,7.1,2101,1459,1.0,3.8
2022,M08,6443,4.2,10148,6.2,1785,1609,1.0,4.0
2022,M09,6206,4.0,10812,6.6,2134,1443,0.9,3.8
2022,M10,6104,4.0,10488,6.4,1797,1539,1.0,3.7
2022,M11,6134,4.0,10619,6.4,2151,1461,0.9,3.8
2022,M12,6113,4.0,10876,6.6,2136,1520,1.0,3.9
2023,M01,6347,4.1,10393,6.3,2028,1904,1.2,3.9
2023,M02,6020,3.9,9846,6.0,1824,1539,1.0,3.7
2023,M03,5932,3.8,9572,5.8,1794,1814,1.2,3.8
2023,M04,5954,3.8,9992,6.0,1806,1686,1.1,3.6
2023,M05,6128,3.9,9310,5.6,1613,1519,1.0,3.8
2023,M06,5930,3.8,9191,5.6,1527,1637,1.1,3.6
2023,M07,5646,3.6,8606,5.2,1243,1675,1.1,3.6
2023,M08,5824,3.7,9287,5.6,1565,1691,1.1,3.6
2023,M09,5772,3.7,9279,5.6,1511,1561,1.0,3.5
2023,M10,5700,3.6,8550,5.2,1501,1621,1.0,3.5
2023,M11,5501,3.5,8663,5.2,1379,1526,1.0,3.5
2023,M12,5614,3.6,8585,5.2,1405,1648,1.0,3.4
2024,M01,5572,3.5,8468,5.1,1443,1692,1.1,3.5
2024,M02,5664,3.6,8445,5.1,1399,1681,1.1,3.5
2024,M03,5472,3.5,8093,4.9,1272,1614,1.0,3.3
2024,M04,5584,3.5,7619,4.6,1289,1587,1.0,3.4
2024,M05,5573,3.5,7901,4.8,1302,1665,1.1,3.4
2024,M06,5088,3.2,7412,4.5,1131,1467,0.9,3.2
2024,M07,5451,3.4,7504,4.5,1367,1745,1.1,3.4
2024,M08,5230,3.3,7649,4.6,1332,1697,1.1,3.3
2024,M09,5519,3.5,7103,4.3,1308,1844,1.2,3.3
2024,M10,5350,3.4,7615,4.6,1358,1788,1.1,3.3
2024,M11,5307,3.3,8031,4.8,1733,1739,1.1,3.2
2024,M12,5374,3.4,7508,4.5,1364,1669,1.1,3.2
2025,M01,5371,3.4,7762,4.7,1211,1674,1.1,3.3
2025,M02,5370,3.4,7480,4.5,1336,1780,1.1,3.3
2025,M03,5404,3.4,7200,4.3,1249,1590,1.0,3.3
